prolific_id,story_presses,story,p_type
5def71cd68885201653393ab,911911111911191119119191119111111,14,loc
5ea000d6e849b0000814e9d5,9991199199111111111911111119199119191,22,soc
5ecb879410d64c70d022d544,911119111911191119111911119111111,14,soc
5e6faa06b59a32573bcde7f1,911191119111911111911191111191111911119,23,loc
5e469f9ef0d398000b1f13f2,91119111191199111191191111911911,33,loc
5cb8d06a75c0e10001540418,911111911111111191111111111111191,32,np
5ea5bee3fc11ed5a8a85f26b,99919191119111111199191119199911,33,np
5da250b1106ffc00109177c8,9111111111911191191911911119119,12,soc
5e3adfc595ff562fbdd130fa,91111111911111111111911191111119111111911,11,loc
5d6a24c4f186b3001ae5dfeb,91119111911111111191111191111111111911911,11,np
59dc458f77860e000151240e,111911111911191119111191119111111,14,loc
5ea95301f1853405e031a30d,9911191911991111191191191111,44,soc
5eb3c2e29eb7cb1a6d8054bc,91911199111191111191199111919911,33,loc
5caa2d8967451a0015304067,911911119119111919111191911,34,soc
5cdad620eae6f70019d4e950,199911119999111919111111111,34,loc
5e8b357c8d6ecf023440f7ea,1911191119111911111111911119111119911,41,loc
5ec2d656c999700e29f63932,91111111191911111191111119111,43,np
5c1d234d89f035000172aeb7,19911919191911911199911191919919,24,loc
5898b6e256357700011c2c6b,9191111911111111111911111911111911111,22,soc
58d9a79c33fef3000118abdf,911911919119111919111191111,34,loc
58df90cecc6d9800018c5d58,911119111191111119191111199111911111,31,np
5d7fd2a5987f70001602d95b,1111111911111111191111111111911,12,loc
5dd827c1393bd37c1adb1d47,9119111919911111111911111911111911911,22,loc
56a8bb427f2472000b9522f6,111111111111111991111111111111111999991,23,soc
5e7009d7b3d2255e174696cd,119111119111111119911111111111,21,loc
5ae5e66d3ab2fb0001ef2f3c,911111911111111191111911991111911,32,loc
5cd0ca0e657e300001945935,999119119199191119119911911191,21,soc
5ebf19feee7c5b13537f1d35,991119911191111911111111111111111911111,23,loc
5ea9cf685ce96d13164b381a,11991111119919119119111911911119111,42,np
5bf18310fb616800014fd2dd,1191191111119111111111191111111,13,np
5772908d908f1d0001c38893,91111191119111111191111911191991,24,np
5ebd841ddea21b08a0aa3057,1111119111111111111119911111119911111,41,np
5eca8de81197051fa92b5a6a,91111911111911191119911111111119,24,np
5460ef52fdf99b49ea4b5906,91911199111111191191111111111111,33,loc
59feed1da383a100011b3eaa,911111919119111919111191911,34,loc
