prolific_id,A1,A2,A3,A4,A5,A6,A7,A8,story,p_type,recall,q1,q2,q3,q4,q5,q6,q7,q8
570521cfde5095001018a0c8,""" It has a wooden decor.""","""They are new.""","""James had a vegetable roll and a fish roll. Teresa, a salmon roll.""","""They liked the food.""","""a phone""","""Are you ok?""","""7 pm tonight for a concert.""","""3 pm""",41,soc,James and Teresa went on a date to a sushi restaurant. Teresa had an issue coming in as she bumped into the door. They both ordered from the waitress and enjoyed their food. Teresa told James a story about being stung by an Egyptian scorpion and James used the opportunity to get Teresa to see an Egyptian musician later that evening at a concert.,1.0,0.0,2.25,1.25,0.0,1.25,2.0,3.0
5f6099ec11c341042ad16572,""" It is a wide hall which contained so many students. leturers find it difficult to see students who are not concentrating or who are doing other things, just like Maria and Henry were having a conversation in the lecture hall.""","""I do not remember what class the students was in but the days lecture was a very short one and was about aristotle.""","""Aristotle""","""I think it was on the next class, a week from that day, i guess.""","""Not too long, but she started thinking about it when she knew she would be leaving the country.""","""She cannot cope with a long distance relationship.""","""No, Henry never wanted it because he loves her so much.""","""Maria""",14,loc,"The story was about a relationship that was being broken by Maria(girl), as a result of she travelling abroad and would be unable to cope with a long distance relationship. Although her boyfriend, Henry, never wanted this, he loves her so much and wanted them to continue, promising to always visit her. ",0.5,1.0,0.5,1.0,0.0,3.0,3.0,1.0
5c2789fc1694480001e4c4e3,""" ?""","""1 white""","""wallet""","""mom""","""ok""","""vinegar""","""1""","""14""",23,soc,A man proposed marriage to a woman in a grocery store,0.0,1.0,0.0,2.0,0.0,3.0,3.0,3.0
561bbdf9811d22000df3138a,""" 2 months""","""His work is getting very buys and he is thinking about changing careers. ""","""Not at first, they suggest hanging out less and giving each other more space""","""Saddie wants her Beatles poster and something else. ""","""I think it was 1950s inspired with black checkerboard patterns. ""","""They were average looking""","""Thomas ordered a burger and Sadie got a Rueben. ""","""Thomas thought his tasted fishy and we do not know what Sadie thought because she left before eating. """,11,loc,"The guy wants to break up with his girlfriend Sadie after thinking about it for two months.  He meets her at the restaurant and they get a booth in the back.  Sadie can tell something is wrong and asks him what is going on and he says that he wants to break up because he is having second thoughts about his career and wants time to get that on track.  After trying to convince him that they could see each other less, Sadie gets upset and after their order arrives, he got a hamburger and she got a rueben, takes half of it shakes it in his face and yells at him that she wants her things back.  She then leaves the restaurant.  He takes a bite of his burger and thinks it tastes bad and wonders if it is the fault of the restaurant. ",1.0,0.0,2.75,1.25,3.0,2.0,2.75,2.0
5f58c77c4c2d8e0556d59fc1,""" 5 months""","""unpleasant fights""","""yes i think liam is cool with it""","""liam wants the cat back""","""arraigned  with lavender, pines and roses""","""pasta, pasta sauce and a can of olive""","""one, station 2""","""30 dollars. credit card""",13,loc,"A story about Emmnuela and Liam. Apparently their relationship had been unpleasant and Emmanuela wanted to end things 5 months earlier but had been holding on. Now here they were grocery shopping for a party they were throwing. While in the grocery store Emmanuela picked up a box of pasta and Liam asked if they were going to be having pasta that night for the party, it resulted into another little fight and Emmanuela couldnt hold back any longer. She broke up with him and he was okay with it. they still planned to go ahead with the party. Liam asked for his cat 'luna' back, but Emmanuela was hesitant.",1.75,2.75,3.0,3.0,3.0,1.0,1.0,3.0
5ecd4acdb218ec085c6eefe6,""" phone""","""about meat""","""sat for dinner""","""330""","""dark with shuttered tall windows""","""bbq sauce chicken spices""","""3 and they go into 8""","""30 card""",43,soc,"two different people enter a grocery store looking for food for their bbq and they start talking and making jokes about the meat, then they head to the checkout and he ask her out for dinner and pays for her groceries the she notices she is late for her bbq and runs off",0.5,2.0,3.0,2.0,0.0,0.75,1.75,0.5
5f2c65d222cb591283c31f94,""" The grocery store smelled like lavender and had pine shelves with products displayed on them.""","""The clients picked out bowtie pasta, a jar of olives, and a can of pasta sauce.""","""Only one checkout lane was open and the clients stepped into lane 2.""","""The groceries were thirty dollars and the client paid using a credit card.""","""The initiator of the breakup has been thinking about breaking up with her partner for five months.""","""The initial reason the initiator stated for why she is breaking up was that they were constantly fighting. She was tired of everything they try to do together becoming unpleasent.""","""The person who is being broken up with does want to break up because he believes that they will be happier seeing other people.""","""Liam wants the cat back as a result of the breakup.""",13,np,"The couple had entered the grocery store that smelled like lavender and had pine shelves that displayed product. The couple did not want to be there. Emmanuella had wanted to break up with Liam for five months now. However, they were stuck hosting a dinner party for their friends that night and had nothing to cook at home. The couple entered the pasta section where Emmanuella grabbed a box of bowtie pasta. Liam ridicule Emmanuella's choice and Emmanuella countered by saying that if he helps cook she would do something more extravagant but he never even tries helping. Liam rebuttled that she never wants his help because he always seems to be in the way when he tries to help. Emmanuella ignores Liam and continues down the isle grabbing a jar of olives and a can of pasta sauce. Out of nowhere she says that she wants to break up because she is tired of the constant fighting and she is done trying to work things out. Liam merely nodded and didn't offer up anything. They proceeded to the checkout where only station two was open. While in line, Liam agreed that he wanted to break up because they would be happier with other people. Emmanuella agreed and she paid for the thirty dollars groceries with her credit card. Emmanuella felt a bit sad but felt it was the right decision and Liam felt relieved that they wouldn't have anymore fights. They both agreed to not tell anyone about the break up. The couple had a mini squabble over who keeps the cat but the fight will ensue later. ",2.75,2.75,3.0,3.0,3.0,3.0,3.0,3.0
5f1aef0d7a71b602c6e896a9,""" I dont remember""","""In both english and japanese? with little symbols.""","""James gets a tuna roll and a vegetable roll. Teresa gets some kind of roll and a japanese beer.""","""They both enjoy the food.""","""A phone?""","""Is your forehead okay, or does your forehead hurt""","""James is picking up Teresa for the Egyptian concert later that evening""","""3pm""",41,loc,"James and Teresa are both at a Japanese restaurant, at a non-busy time. Teresa walks into the door and hits her forehead because she is busy looking at her phone. They both sit down to eat. James asks Teresa if her forehead hurts and she acted snarky about it, and said she was once stung by a scorpion so nothing hurts that bad anymore. They eat together. James orders a tuna roll and vegetable roll and Teresa orders a roll and a Japanese beer. Teresa talks about when she studied abroad in Egypt (where she got stung by the scorpion) and James says he is actually going to see an Egyptian concert that night and invites her along. She says okay. He leaves around 3pm, with the plan to pick her up later that night for the concert. James is clearly excited but Teresa hides her excitement.",0.0,1.75,2.5,2.0,0.0,3.0,3.0,3.0
5e31c0590d43621a12346787,""" 18months""","""2 pink""","""in class""","""sister""","""big""","""chemistry class and protons""","""no""","""midterm exam""",24,loc,a man is proposing to a woman in a chemistry class. the professor called the couple to the front and the man proposed to her. the professor turned the last slide to show the picture of the couple. their friends waited outside to see the ring. the lady texted her sister.,0.5,1.25,0.0,2.0,0.25,0.0,0.0,3.0
5f621effe45bc22013725bb3,""" """,,,"""very much""","""h""",,"""night""",,41,np,The story between two unknown person. They meet each other at restaurant. They like each other company and share their meal. That was really a sweet story.,0.0,0.0,0.0,1.5,0.0,0.0,0.75,0.0
5e8b149e1f49d702dadae9ab,""" Keys ""","""Do you think this cornish hen is cute""","""Dinner""","""4:30""","""Dunno""","""Bbq meats and sauce and spices""","""3 and 8""","""51 dollars with credit card""",43,soc,"Simon and girl meet at meat section of grocery store. Girl almost drops keys. They want to talk to each other but nervous. Girl asks Simon if he thinks this cornish hen is cute. He says yes, must be younger brother of this chicken. They laugh. They flirt all the way to checkout line. They joke about magazine covers. Guy pays for girl's groceries. Asks her out on date. Cashier rolls eyes at how lovely they are. Girl runs away at 4:30 cause she's late for her own bbq.",0.0,1.75,3.0,2.75,3.0,2.25,1.0,3.0
5eeab761609f0d1df85d61bf,"""A few weeks; during the vacation""","""She was bored""","""He accepted it; he said she should go if she was bored""","""Jessie wants her philosophy books back""","""Not long, fifteen minutes?""","""A shift change among Tsa agents""","""E something?""","""Economy""",12,np,"Calvin and Jessie are going to the airport to return to the States from their vacation in Jamaica.  They do not have much time to get to the gate, but the security line is moving fairly well up until the TSA-type agents have a shift change that causes a delay.  While held up in line, Jessie impulsively tells Calvin that she wants to break up.  She apologizes for not telling him before the vacation.  She doesn't feel inspired in their relationship, I think.  Calvin accepts this but is hurt.  He says if she's so bored with him then they might as well break up.  They awkwardly head to their gate and the flight attendant scans their tickets annoyed.  The attendant closes the gate behind them.  They are the last to board.  They are both seated in Economy but separate.  They are three rows apart.  Once Jessie goes to sit, she turns to Calvin and awkwardly shakes his hand to wish him a good flight back to the US... and that she wants her philosophy books returned to her.  Calvin scoffs.  Story ends.",0.25,3.0,0.0,1.0,1.0,0.0,2.75,3.0
