sub,priming,qt,avg,story
sub-29,loc,avg_soc,1.25,41
sub-30,np,avg_loc,2.0,41
sub-30,np,avg_soc,2.0,41
sub-31,loc,avg_loc,0.0,41
sub-31,loc,avg_soc,0.0,41
sub-32,soc,avg_loc,1.0,41
sub-32,soc,avg_soc,2.0,41
sub-35,soc,avg_loc,0.5,41
sub-35,soc,avg_soc,0.75,41
sub-37,soc,avg_loc,1.0,41
sub-37,soc,avg_soc,2.75,41
sub-38,soc,avg_loc,1.5,41
sub-38,soc,avg_soc,2.25,41
sub-01,soc,avg_loc,0.25,23
sub-01,soc,avg_soc,1.5,23
sub-03,soc,avg_loc,0.5,23
sub-03,soc,avg_soc,2.25,23
sub-05,soc,avg_loc,1.0,23
sub-05,soc,avg_soc,2.25,23
sub-07,np,avg_loc,0.5,23
sub-07,np,avg_soc,0.0,23
sub-09,loc,avg_loc,2.25,23
sub-09,loc,avg_soc,0.5,23
sub-10,soc,avg_loc,0.0,23
sub-10,soc,avg_soc,2.0,23
sub-12,loc,avg_loc,0.0,23
sub-12,loc,avg_soc,0.5,23
sub-14,np,avg_loc,0.5,23
sub-14,np,avg_soc,0.0,23
sub-16,np,avg_loc,0.0,23
sub-16,np,avg_soc,0.0,23
sub-17,loc,avg_loc,2.25,23
sub-17,loc,avg_soc,1.25,23
sub-19,np,avg_loc,0.5,23
sub-19,np,avg_soc,0.0,23
sub-20,loc,avg_loc,2.25,23
sub-20,loc,avg_soc,1.5,23
sub-21,np,avg_loc,0.5,23
sub-21,np,avg_soc,0.0,23
sub-23,loc,avg_loc,0.5,23
sub-23,loc,avg_soc,0.0,23
sub-24,loc,avg_loc,0.0,23
sub-24,loc,avg_soc,0.0,23
sub-25,np,avg_loc,0.25,23
sub-25,np,avg_soc,0.0,23
sub-26,np,avg_loc,0.25,23
sub-26,np,avg_soc,0.5,23
sub-27,np,avg_loc,0.5,23
sub-27,np,avg_soc,0.75,23
sub-28,soc,avg_loc,0.0,23
sub-28,soc,avg_soc,3.0,23
sub-29,soc,avg_loc,1.0,23
